שם היישות,סוג ישות,שם רשמי,שם באנגלית,"מספר ח""פ",מקום מושב הישות,תיאור כללי,מקור - תיאור כללי,שנת הקמה,אתר אינטרנט,זרם,מקור - זרם דתי,תואר - איש,קהל יעד,רקע ומטרות,מקור לרקע ומטרות,,,"מס""ד"
מלגת ג'וינט ישראל לדוקטורנטים העוסקים בחקר החברה האזרחית והפילנתרופיה,מיזם,,,,,,,,https://www.facebook.com/baerwaldsocialwork/posts/822909711117526?__xts__[0]=68.ARBEsR4_ceEgEv4lgf3TZY_OyVfIdfsGy7YIA8eopeMZJanwYo95ynkKGOvPCMVCiLZGZtM41FRYobeFIBbB_iaIHQAbkzSMXMrS2Lq1f8EGS42EjGrDcgHsmmLA2CvWhIQbVJCqq_blU8jg71QSPXOg0RaEskKUHdx7S4PqHplWhNOOtyz9lOF3s106xW3VoeQLf5NOaAtcbv6TqPZttWzN3egCBJDHeiilHWDpxp5LhroZe2RPom6NFYYqvUSO8m8NobC52fGdbDFWv9z7CpCELDHZczAiabgGCNQM8tGbiKBOSNtC2FK_CJdZB9-lasqgTwj77EsWCKO_dlfIgOU&__tn__=-R,,,,,,,,,100
הסוכנות היהודית,קרן,,,,,,,,,,,,,,,,,101
הפדרציות היהודיות של צפון אמריקה,קרן,,,,,,,,,,,,,,,,,102
הפדרציות של ניו יורק,קרן,,,,,,,,,,,,,,,,,103
הפדרציות של סן פרנסיסקו,קרן,,,,,,,,,,,,,,,,,104
הפדרצייה של מטרו ווסט,קרן,,,,,,,,,,,,,,,,,105
הפדרצייה של ניו יורק,קרן,,,,,,,,,,,,,,,,,106
הפדרצייה של סן פרנסיסקו,קרן,,,,,שייכת לדי־אן־איי העמוק של השמאל היהודי,,,,,,,,,,,,107
הפורום החילוני,ארגון,"הפורום החילוני - איגוד השכונות והיישובים החופשיים (ע""ר)",The Secular Forum (through Hofesh - Freedom from Religion),580547768,,"הפורום החילוני הוקם על מנת לשמש כארגון ארצי למאבק בתופעות ההדתה. בשנותיו הראשונות, התמקד הפורום בסיוע ליישובים ושכונות שסבלו מהדתה מקומית, הן בשל חדירת קבוצות מיסיונריות דתיות ליישוב והן בשל מאמצים להדתת היישוב על ידי השלטון המקומי והארצי. הפורום תמך במעל 60 יישובים ושכונות ברחבי הארץ - מכפר ורדים ועד אילת.
בשנת 2015, החליט הפורום להתמקד בתחום החינוך, להאבק בהדתת המערכת ולהבטיח חינוך חילוני עשיר לתלמידים במערכת החינוך הממלכתית, זאת לצד מאבקים מתמשכים נגד הדתה וכפיה דתית בצה""ל ובמרחב הציבורי.",,,,,,,,,,,,108
הקרן ההולנדית,קרן,,,,,,,,,,,,,,,,,109
